songNumber,songTitle,scoreUrl,virtualSinger,pdfUrl
183,Man in the Mirror,,man-in-the-mirror-virtual-singer-tenor,38306466/Man%20in%20the%20Mirror-%20TENOR
185,I'd Do Anything For Love,,id-do-anything-for-love-virtual-singer-tenor,38306466/I%20Would%20Do%20Anything%20for%20Love%20-%20TENOR
186,Hymn of Axciom - <b>Tenor 1</b>,,hymn-of-acxiom-virtual-singer-tenor-1,38306466/Hymn%20of%20Acxiom%20-%20Tenor%201
186,Hymn of Axciom - <b>Tenor 2</b>,,hymn-of-acxiom-virtual-singer-tenor-2,38306466/Hymn%20of%20Acxiom%20-%20Tenor%202
188, I Want to Know What Love is,,i-want-to-know-what-love-is-virtual-singer-tenor,38306466/I%20Want%20to%20Know%20What%20Love%20Is-%20TENOR
189,Walking In Memphis,,walking-in-memphis-virtual-singer-tenor,38306466/Walking%20in%20Memphis-%20TENOR
189,Walking In Memphis - <b>Revised</b>,,,38306466/Walking%20in%20Memphis%20Revised%20-%20TENOR
191,Human,,human-virtual-singer-tenor,38306466/Human%20-%20TENOR
192,Shackles,,shackles-virtual-singer-tenor,38306466/Shackles-%20Tenor
199,Home,,,38306466/Home%20-%20TENOR
